rank,sample_id,eval_token_index,channel,tile_id,tile_offset,activation,quantized_activation,reconstruction_error,abs_reconstruction_error,nearest_centroid
655,88,8338,57,14,1,0.138671875,-1.4203373193740845,1.5590091943740845,1.5590091943740845,95
656,8,867,27,6,3,-0.0125732421875,-1.570608377456665,1.558035135269165,1.558035135269165,105
657,68,6402,58,14,2,-0.921875,0.6360219120979309,-1.5578968524932861,1.5578968524932861,51
658,81,7254,19,4,3,0.6875,2.2438507080078125,-1.5563507080078125,1.5563507080078125,124
659,84,7920,57,14,1,-0.0380859375,1.516834020614624,-1.554919958114624,1.554919958114624,113
660,37,3343,16,4,0,-0.22265625,-1.7748708724975586,1.5522146224975586,1.5522146224975586,111
661,54,5259,57,14,1,0.1259765625,-1.4203373193740845,1.5463138818740845,1.5463138818740845,95
662,82,7542,19,4,3,0.69921875,2.2438507080078125,-1.5446319580078125,1.5446319580078125,124
663,45,4135,32,8,0,-0.10107421875,1.4431437253952026,-1.5442179441452026,1.5442179441452026,31
664,24,2388,7,1,3,-0.0439453125,1.5001842975616455,-1.5441296100616455,1.5441296100616455,47
665,65,6174,21,5,1,-0.3125,1.2301476001739502,-1.5426476001739502,1.5426476001739502,126
666,3,181,2,0,2,-1.71875,-0.1774359792470932,-1.5413140058517456,1.5413140058517456,86
667,2,159,2,0,2,-1.71875,-0.1774359792470932,-1.5413140058517456,1.5413140058517456,86
668,48,4344,32,8,0,-0.09814453125,1.4431437253952026,-1.5412882566452026,1.5412882566452026,31
669,31,3109,27,6,3,-0.02978515625,-1.570608377456665,1.540823221206665,1.540823221206665,105
670,58,5453,23,5,3,2.125,0.5858562588691711,1.5391438007354736,1.5391438007354736,58
671,27,2519,26,6,2,-0.06396484375,1.4718811511993408,-1.5358459949493408,1.5358459949493408,101
672,35,3286,17,4,1,-0.94140625,0.5928698778152466,-1.5342761278152466,1.5342761278152466,124
673,72,6630,20,5,0,0.017822265625,1.5519205331802368,-1.5340982675552368,1.5340982675552368,82
674,39,3698,33,8,1,1.125,-0.4059147238731384,1.5309147834777832,1.5309147834777832,31
675,71,6605,27,6,3,-0.7890625,-2.3183438777923584,1.5292813777923584,1.5292813777923584,118
676,45,4135,59,14,3,0.1474609375,1.675608515739441,-1.528147578239441,1.528147578239441,113
677,52,5051,27,6,3,0.86328125,2.3912363052368164,-1.5279550552368164,1.5279550552368164,85
678,63,6106,32,8,0,-0.427734375,-1.955368995666504,1.527634620666504,1.527634620666504,34
679,81,7254,23,5,3,3.8125,2.287625789642334,1.524874210357666,1.524874210357666,82
680,64,6113,45,11,1,-0.42578125,1.099058985710144,-1.524840235710144,1.524840235710144,37
681,77,6929,47,11,3,-2.65625,-1.1335363388061523,-1.5227136611938477,1.5227136611938477,37
682,20,2026,24,6,0,3.28125,1.759203314781189,1.522046685218811,1.522046685218811,105
683,5,383,32,8,0,0.4375,-1.0821665525436401,1.5196665525436401,1.5196665525436401,76
684,47,4265,30,7,2,0.421875,1.9412087202072144,-1.5193337202072144,1.5193337202072144,84
685,37,3343,17,4,1,-1.0,0.5155776143074036,-1.5155775547027588,1.5155775547027588,111
686,5,383,24,6,0,1.4453125,-0.07020224630832672,1.5155147314071655,1.5155147314071655,0
687,45,4135,17,4,1,-0.921875,0.5928698778152466,-1.5147448778152466,1.5147448778152466,124
688,94,8889,34,8,2,-0.435546875,1.0790997743606567,-1.5146466493606567,1.5146466493606567,23
689,13,1462,3,0,3,-0.212890625,1.3017035722732544,-1.5145941972732544,1.5145941972732544,86
690,12,1434,20,5,0,-0.8828125,0.631747305393219,-1.5145597457885742,1.5145597457885742,126
691,30,2841,19,4,3,0.73046875,2.2438507080078125,-1.5133819580078125,1.5133819580078125,124
692,98,9764,32,8,0,-0.1640625,-1.6763474941253662,1.5122849941253662,1.5122849941253662,24
693,95,9149,45,11,1,-0.412109375,1.099058985710144,-1.511168360710144,1.511168360710144,37
694,41,3777,20,5,0,-0.87890625,0.631747305393219,-1.5106534957885742,1.5106534957885742,126
695,27,2519,21,5,1,1.328125,-0.1793925017118454,1.5075174570083618,1.5075174570083618,82
696,26,2516,5,1,1,2.59375,1.0863683223724365,1.5073816776275635,1.5073816776275635,100
697,12,1434,26,6,2,-0.03515625,1.4718811511993408,-1.5070374011993408,1.5070374011993408,101
698,83,7599,57,14,1,0.01239013671875,1.516834020614624,-1.504443883895874,1.504443883895874,113
699,97,9378,47,11,3,0.369140625,-1.1335363388061523,1.5026769638061523,1.5026769638061523,37
700,26,2516,1,0,1,-0.91796875,0.5844319462776184,-1.5024006366729736,1.5024006366729736,86
701,47,4265,26,6,2,-0.0303955078125,1.4718811511993408,-1.5022766590118408,1.5022766590118408,101
702,47,4265,20,5,0,0.050537109375,1.5519205331802368,-1.5013834238052368,1.5013834238052368,82
703,7,717,59,14,3,0.17578125,1.675608515739441,-1.499827265739441,1.499827265739441,113
704,86,8214,19,4,3,0.74609375,2.2438507080078125,-1.4977569580078125,1.4977569580078125,124
705,69,6414,47,11,3,-0.55859375,-2.0548171997070312,1.4962234497070312,1.4962234497070312,119
706,4,267,20,5,0,0.056396484375,1.5519205331802368,-1.4955240488052368,1.4955240488052368,82
707,0,143,17,4,1,-0.90234375,0.5928698778152466,-1.4952136278152466,1.4952136278152466,124
708,78,6934,35,8,3,-0.208984375,-1.7035616636276245,1.4945772886276245,1.4945772886276245,78
709,70,6493,66,16,2,-2.265625,-0.772463858127594,-1.4931612014770508,1.4931612014770508,64
710,14,1599,20,5,0,-0.859375,0.631747305393219,-1.4911222457885742,1.4911222457885742,126
711,7,717,55,13,3,5.125,3.6342718601226807,1.4907281398773193,1.4907281398773193,30
712,94,8889,59,14,3,0.185546875,1.675608515739441,-1.490061640739441,1.490061640739441,113
713,81,7254,52,13,0,-0.0576171875,-1.5451741218566895,1.4875569343566895,1.4875569343566895,30
